A00-B99;A00-A09;A00  Cholera;A00 ; Cholera
A00-B99;A00-A09;A01  Typhoid and paratyphoid fevers;A01 ; Typhoid and paratyphoid fevers
A00-B99;A00-A09;A02  Other salmonella infections;A02 ; Other salmonella infections
A00-B99;A00-A09;A03  Shigellosis;A03 ; Shigellosis
A00-B99;A00-A09;A04  Other bacterial intestinal infections;A04 ; Other bacterial intestinal infections
A00-B99;A00-A09;A05  Other bacterial foodborne intoxications, not elsewhere classified;A05 ; Other bacterial foodborne intoxications, not elsewhere classified
A00-B99;A00-A09;A06  Amebiasis;A06 ; Amebiasis
A00-B99;A00-A09;A07  Other protozoal intestinal diseases;A07 ; Other protozoal intestinal diseases
A00-B99;A00-A09;A08  Viral and other specified intestinal infections;A08 ; Viral and other specified intestinal infections
A00-B99;A00-A09;A09  Infectious gastroenteritis and colitis, unspecified;A09 ; Infectious gastroenteritis and colitis, unspecified
A00-B99;A15-A19;A15  Respiratory tuberculosis;A15 ; Respiratory tuberculosis
A00-B99;A15-A19;A16  Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16; Respiratory tuberculosis, not confirmed bacteriologically or histologically
A00-B99;A15-A19;A17  Tuberculosis of nervous system;A17 ; Tuberculosis of nervous system
A00-B99;A15-A19;A18  Tuberculosis of other organs;A18 ; Tuberculosis of other organs
A00-B99;A15-A19;A19  Miliary tuberculosis;A19 ; Miliary tuberculosis
A00-B99;A20-A28;A20  Plague;A20 ; Plague
A00-B99;A20-A28;A21  Tularemia;A21 ; Tularemia
A00-B99;A20-A28;A22  Anthrax;A22 ; Anthrax
A00-B99;A20-A28;A23  Brucellosis;A23 ; Brucellosis
A00-B99;A20-A28;A24  Glanders and melioidosis;A24 ; Glanders and melioidosis
A00-B99;A20-A28;A25  Rat-bite fevers;A25 ; Rat-bite fevers
A00-B99;A20-A28;A26  Erysipeloid;A26 ; Erysipeloid
A00-B99;A20-A28;A27  Leptospirosis;A27 ; Leptospirosis
A00-B99;A20-A28;A28  Other zoonotic bacterial diseases, not elsewhere classified;A28 ; Other zoonotic bacterial diseases, not elsewhere classified
A00-B99;A30-A49;A30  Leprosy [Hansen's disease];A30 ; Leprosy [Hansen's disease]
A00-B99;A30-A49;A31  Infection due to other mycobacteria;A31 ; Infection due to other mycobacteria
A00-B99;A30-A49;A32  Listeriosis;A32 ; Listeriosis
A00-B99;A30-A49;A33  Tetanus neonatorum;A33 ; Tetanus neonatorum
A00-B99;A30-A49;A34  Obstetrical tetanus;A34 ; Obstetrical tetanus
A00-B99;A30-A49;A35  Other tetanus;A35 ; Other tetanus
A00-B99;A30-A49;A36  Diphtheria;A36 ; Diphtheria
A00-B99;A30-A49;A37  Whooping cough;A37 ; Whooping cough
A00-B99;A30-A49;A38  Scarlet fever;A38 ; Scarlet fever
A00-B99;A30-A49;A39  Meningococcal infection;A39 ; Meningococcal infection
A00-B99;A30-A49;A40  Streptococcal sepsis;A40 ; Streptococcal sepsis
A00-B99;A30-A49;A41  Other sepsis;A41 ; Other sepsis
A00-B99;A30-A49;A42  Actinomycosis;A42 ; Actinomycosis
A00-B99;A30-A49;A43  Nocardiosis;A43 ; Nocardiosis
A00-B99;A30-A49;A44  Bartonellosis;A44 ; Bartonellosis
A00-B99;A30-A49;A46  Erysipelas;A46 ; Erysipelas
A00-B99;A30-A49;A48  Other bacterial diseases, not elsewhere classified;A48 ; Other bacterial diseases, not elsewhere classified
A00-B99;A30-A49;A49  Bacterial infection of unspecified site;A49 ; Bacterial infection of unspecified site
A00-B99;A50-A64;A50  Congenital syphilis;A50 ; Congenital syphilis
A00-B99;A50-A64;A51  Early syphilis;A51 ; Early syphilis
A00-B99;A50-A64;A52  Late syphilis;A52 ; Late syphilis
A00-B99;A50-A64;A53  Other and unspecified syphilis;A53 ; Other and unspecified syphilis
A00-B99;A50-A64;A54  Gonococcal infection;A54 ; Gonococcal infection
A00-B99;A50-A64;A55  Chlamydial lymphogranuloma (venereum);A55 ; Chlamydial lymphogranuloma (venereum)
A00-B99;A50-A64;A56  Other sexually transmitted chlamydial diseases;A56 ; Other sexually transmitted chlamydial diseases
A00-B99;A50-A64;A57  Chancroid;A57 ; Chancroid
A00-B99;A50-A64;A58  Granuloma inguinale;A58 ; Granuloma inguinale
A00-B99;A50-A64;A59  Trichomoniasis;A59 ; Trichomoniasis
A00-B99;A50-A64;A60  Anogenital herpesviral [herpes simplex] infections;A60 ; Anogenital herpesviral [herpes simplex] infections
A00-B99;A50-A64;A63  Other predominantly sexually transmitted diseases, not elsewhere classified;A63 ; Other predominantly sexually transmitted diseases, not elsewhere classified
A00-B99;A50-A64;A64  Unspecified sexually transmitted disease;A64 ; Unspecified sexually transmitted disease
A00-B99;A65-A69;A65  Nonvenereal syphilis;A65 ; Nonvenereal syphilis
A00-B99;A65-A69;A66  Yaws;A66 ; Yaws
A00-B99;A65-A69;A67  Pinta [carate];A67 ; Pinta [carate]
A00-B99;A65-A69;A68  Relapsing fevers;A68 ; Relapsing fevers
A00-B99;A65-A69;A69  Other spirochetal infections;A69 ; Other spirochetal infections
A00-B99;A70-A74;A70  Chlamydia psittaci infections;A70 ; Chlamydia psittaci infections
A00-B99;A70-A74;A71  Trachoma;A71 ; Trachoma
A00-B99;A70-A74;A74  Other diseases caused by chlamydiae;A74 ; Other diseases caused by chlamydiae
A00-B99;A75-A79;A75  Typhus fever;A75 ; Typhus fever
A00-B99;A75-A79;A77  Spotted fever [tick-borne rickettsioses];A77 ; Spotted fever [tick-borne rickettsioses]
A00-B99;A75-A79;A78  Q fever;A78 ; Q fever
A00-B99;A75-A79;A79  Other rickettsioses;A79 ; Other rickettsioses
A00-B99;A80-A89;A80  Acute poliomyelitis;A80 ; Acute poliomyelitis
A00-B99;A80-A89;A81  Atypical virus infections of central nervous system;A81 ; Atypical virus infections of central nervous system
A00-B99;A80-A89;A82  Rabies;A82 ; Rabies
A00-B99;A80-A89;A83  Mosquito-borne viral encephalitis;A83 ; Mosquito-borne viral encephalitis
A00-B99;A80-A89;A84  Tick-borne viral encephalitis;A84 ; Tick-borne viral encephalitis
A00-B99;A80-A89;A85  Other viral encephalitis, not elsewhere classified;A85 ; Other viral encephalitis, not elsewhere classified
A00-B99;A80-A89;A86  Unspecified viral encephalitis;A86 ; Unspecified viral encephalitis
A00-B99;A80-A89;A87  Viral meningitis;A87 ; Viral meningitis
A00-B99;A80-A89;A88  Other viral infections of central nervous system, not elsewhere classified;A88 ; Other viral infections of central nervous system, not elsewhere classified
A00-B99;A80-A89;A89  Unspecified viral infection of central nervous system;A89 ; Unspecified viral infection of central nervous system
A00-B99;A90-A99;A90  Dengue fever [classical dengue];A90 ; Dengue fever [classical dengue]
A00-B99;A90-A99;A91  Dengue hemorrhagic fever;A91 ; Dengue hemorrhagic fever
A00-B99;A90-A99;A92  Other mosquito-borne viral fevers;A92 ; Other mosquito-borne viral fevers
A00-B99;A90-A99;A93  Other arthropod-borne viral fevers, not elsewhere classified;A93 ; Other arthropod-borne viral fevers, not elsewhere classified
A00-B99;A90-A99;A94  Unspecified arthropod-borne viral fever;A94 ; Unspecified arthropod-borne viral fever
A00-B99;A90-A99;A95  Yellow fever;A95 ; Yellow fever
A00-B99;A90-A99;A96  Arenaviral hemorrhagic fever;A96 ; Arenaviral hemorrhagic fever
A00-B99;A90-A99;A98  Other viral hemorrhagic fevers, not elsewhere classified;A98 ; Other viral hemorrhagic fevers, not elsewhere classified
A00-B99;A90-A99;A99  Unspecified viral hemorrhagic fever;A99 ; Unspecified viral hemorrhagic fever
A00-B99;B00-B09;B00  Herpesviral [herpes simplex] infections;B00 ; Herpesviral [herpes simplex] infections
A00-B99;B00-B09;B01  Varicella [chickenpox];B01 ; Varicella [chickenpox]
A00-B99;B00-B09;B02  Zoster [herpes zoster];B02 ; Zoster [herpes zoster]
A00-B99;B00-B09;B03  Smallpox;B03 ; Smallpox
A00-B99;B00-B09;B04  Monkeypox;B04 ; Monkeypox
A00-B99;B00-B09;B05  Measles;B05 ; Measles
A00-B99;B00-B09;B06  Rubella [German measles];B06 ; Rubella [German measles]
A00-B99;B00-B09;B07  Viral warts;B07 ; Viral warts
A00-B99;B00-B09;B08  Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified;B08 ; Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified
A00-B99;B00-B09;B09  Unspecified viral infection characterized by skin and mucous membrane lesions;B09 ; Unspecified viral infection characterized by skin and mucous membrane lesions
A00-B99;B10-B10;B10  Other human herpesviruses;B10 ; Other human herpesviruses
A00-B99;B15-B19;B15  Acute hepatitis A;B15 ; Acute hepatitis A
A00-B99;B15-B19;B16  Acute hepatitis B;B16 ; Acute hepatitis B
A00-B99;B15-B19;B17  Other acute viral hepatitis;B17 ; Other acute viral hepatitis
A00-B99;B15-B19;B18  Chronic viral hepatitis;B18 ; Chronic viral hepatitis
A00-B99;B15-B19;B19  Unspecified viral hepatitis;B19 ; Unspecified viral hepatitis
A00-B99;B20-B20;B20  Human immunodeficiency virus [HIV] disease;B20 ; Human immunodeficiency virus [HIV] disease
A00-B99;B25-B34;B25  Cytomegaloviral disease;B25 ; Cytomegaloviral disease
A00-B99;B25-B34;B26  Mumps;B26 ; Mumps
A00-B99;B25-B34;B27  Infectious mononucleosis;B27 ; Infectious mononucleosis
A00-B99;B25-B34;B30  Viral conjunctivitis;B30 ; Viral conjunctivitis
A00-B99;B25-B34;B33  Other viral diseases, not elsewhere classified;B33 ; Other viral diseases, not elsewhere classified
A00-B99;B25-B34;B34  Viral infection of unspecified site;B34 ; Viral infection of unspecified site
A00-B99;B35-B49;B35  Dermatophytosis;B35 ; Dermatophytosis
A00-B99;B35-B49;B36  Other superficial mycoses;B36 ; Other superficial mycoses
A00-B99;B35-B49;B37  Candidiasis;B37 ; Candidiasis
A00-B99;B35-B49;B38  Coccidioidomycosis;B38 ; Coccidioidomycosis
A00-B99;B35-B49;B39  Histoplasmosis;B39 ; Histoplasmosis
A00-B99;B35-B49;B40  Blastomycosis;B40 ; Blastomycosis
A00-B99;B35-B49;B41  Paracoccidioidomycosis;B41 ; Paracoccidioidomycosis
A00-B99;B35-B49;B42  Sporotrichosis;B42 ; Sporotrichosis
A00-B99;B35-B49;B43  Chromomycosis and pheomycotic abscess;B43 ; Chromomycosis and pheomycotic abscess
A00-B99;B35-B49;B44  Aspergillosis;B44 ; Aspergillosis
A00-B99;B35-B49;B45  Cryptococcosis;B45 ; Cryptococcosis
A00-B99;B35-B49;B46  Zygomycosis;B46 ; Zygomycosis
A00-B99;B35-B49;B47  Mycetoma;B47 ; Mycetoma
A00-B99;B35-B49;B48  Other mycoses, not elsewhere classified;B48 ; Other mycoses, not elsewhere classified
A00-B99;B35-B49;B49  Unspecified mycosis;B49 ; Unspecified mycosis
A00-B99;B50-B64;B50  Plasmodium falciparum malaria;B50 ; Plasmodium falciparum malaria
A00-B99;B50-B64;B51  Plasmodium vivax malaria;B51 ; Plasmodium vivax malaria
A00-B99;B50-B64;B52  Plasmodium malariae malaria;B52 ; Plasmodium malariae malaria
A00-B99;B50-B64;B53  Other specified malaria;B53 ; Other specified malaria
A00-B99;B50-B64;B54  Unspecified malaria;B54 ; Unspecified malaria
